3.76,8.57,-1.49,245.00,-11.00,-304.00,jogging
3.80,8.60,-1.42,259.00,-10.00,-311.00,jogging
3.87,8.65,-1.39,254.00,9.00,-317.00,jogging
3.91,8.60,-1.36,254.00,13.00,-327.00,jogging
4.06,8.62,-1.28,255.00,10.00,-332.00,jogging
4.04,8.71,-1.34,253.00,17.00,-335.00,jogging
4.00,8.66,-1.47,266.00,27.00,-338.00,jogging
4.05,8.63,-1.49,261.00,51.00,-352.00,jogging
3.91,8.55,-1.48,269.00,68.00,-368.00,jogging
4.00,8.50,-1.65,258.00,88.00,-382.00,jogging
4.07,8.48,-1.73,261.00,102.00,-400.00,jogging
4.04,8.45,-1.76,264.00,122.00,-417.00,jogging
4.15,8.40,-1.83,269.00,126.00,-434.00,jogging
4.08,8.33,-1.90,260.00,136.00,-442.00,jogging
4.09,8.29,-2.07,259.00,140.00,-447.00,jogging
4.10,8.30,-2.05,255.00,139.00,-463.00,jogging
3.97,8.28,-2.11,239.00,143.00,-468.00,jogging
3.98,8.30,-2.29,233.00,133.00,-476.00,jogging
3.78,8.26,-2.25,210.00,134.00,-478.00,jogging
3.72,8.35,-2.18,197.00,125.00,-475.00,jogging
3.60,8.39,-2.14,173.00,115.00,-484.00,jogging
3.38,8.50,-1.87,157.00,95.00,-492.00,jogging
3.24,8.51,-1.81,144.00,83.00,-498.00,jogging
3.07,8.68,-1.49,135.00,67.00,-502.00,jogging
3.02,8.94,-1.28,130.00,70.00,-505.00,jogging
2.68,9.22,-0.94,151.00,70.00,-519.00,jogging
2.40,9.37,-0.72,168.00,84.00,-531.00,jogging
2.19,9.64,-0.47,181.00,107.00,-548.00,jogging
2.00,9.84,-0.58,196.00,120.00,-567.00,jogging
1.95,9.99,-0.70,200.00,131.00,-602.00,jogging
2.17,10.15,-0.90,177.00,133.00,-639.00,jogging
2.52,10.23,-1.06,166.00,129.00,-669.00,jogging
2.84,10.15,-1.22,146.00,117.00,-679.00,jogging
3.26,9.86,-1.42,116.00,104.00,-665.00,jogging
3.68,9.42,-1.70,100.00,73.00,-636.00,jogging
3.93,9.15,-1.77,58.00,22.00,-575.00,jogging
4.22,8.86,-1.82,36.00,-33.00,-503.00,jogging
4.42,8.77,-1.79,15.00,-113.00,-428.00,jogging
4.46,8.70,-1.73,-11.00,-184.00,-355.00,jogging
4.33,8.82,-1.57,-16.00,-264.00,-296.00,jogging
4.03,8.90,-1.70,-32.00,-312.00,-254.00,jogging
3.90,8.90,-1.71,-32.00,-342.00,-232.00,jogging
3.74,8.93,-1.79,-44.00,-358.00,-222.00,jogging
3.57,8.98,-1.79,-63.00,-353.00,-220.00,jogging
3.57,9.03,-1.68,-75.00,-356.00,-235.00,jogging
3.55,9.06,-1.69,-110.00,-328.00,-253.00,jogging
3.39,9.03,-1.63,-123.00,-316.00,-264.00,jogging
3.57,8.99,-1.60,-147.00,-305.00,-272.00,jogging
3.66,9.08,-1.50,-163.00,-293.00,-285.00,jogging
3.74,9.07,-1.48,-175.00,-287.00,-307.00,jogging
3.83,9.07,-1.32,-193.00,-261.00,-327.00,jogging
3.90,9.14,-1.23,-189.00,-271.00,-335.00,jogging
3.93,9.09,-1.12,-204.00,-268.00,-346.00,jogging
4.15,9.01,-0.96,-212.00,-254.00,-363.00,jogging
4.30,8.99,-0.96,-225.00,-247.00,-381.00,jogging
4.36,8.89,-1.12,-246.00,-224.00,-393.00,jogging
4.54,8.75,-1.07,-254.00,-213.00,-403.00,jogging
4.57,8.65,-1.11,-269.00,-195.00,-407.00,jogging
4.60,8.52,-1.22,-271.00,-193.00,-405.00,jogging
4.77,8.47,-1.34,-286.00,-183.00,-397.00,jogging
4.65,8.44,-1.32,-279.00,-178.00,-379.00,jogging
4.62,8.39,-1.51,-275.00,-164.00,-354.00,jogging
4.48,8.38,-1.40,-253.00,-151.00,-324.00,jogging
4.47,8.40,-1.33,-241.00,-124.00,-287.00,jogging
4.31,8.45,-1.33,-214.00,-103.00,-251.00,jogging
4.20,8.52,-1.25,-198.00,-73.00,-222.00,jogging
4.25,8.66,-1.14,-190.00,-44.00,-195.00,jogging
4.15,8.79,-1.16,-184.00,-19.00,-169.00,jogging
4.12,8.94,-0.94,-198.00,14.00,-137.00,jogging
4.11,8.98,-0.93,-210.00,40.00,-110.00,jogging
4.06,9.08,-0.94,-236.00,78.00,-76.00,jogging
4.06,9.18,-0.80,-249.00,106.00,-43.00,jogging
3.98,9.28,-0.85,-284.00,131.00,-9.00,jogging
4.08,9.22,-0.83,-317.00,160.00,25.00,jogging
4.04,9.17,-0.70,-340.00,159.00,61.00,jogging
3.95,9.21,-0.71,-382.00,170.00,105.00,jogging
3.82,9.12,-0.57,-406.00,145.00,152.00,jogging
3.59,9.13,-0.52,-445.00,105.00,198.00,jogging
3.44,9.21,-0.22,-485.00,59.00,243.00,jogging
3.26,9.26,-0.17,-522.00,-14.00,291.00,jogging
3.08,9.31,-0.02,-564.00,-79.00,345.00,jogging
2.89,9.51,0.08,-619.00,-139.00,406.00,jogging
2.61,9.69,0.06,-670.00,-195.00,471.00,jogging
2.35,9.84,0.18,-715.00,-255.00,540.00,jogging
1.91,10.03,0.33,-756.00,-319.00,613.00,jogging
1.69,10.22,0.39,-799.00,-379.00,692.00,jogging
1.34,10.40,0.53,-846.00,-449.00,766.00,jogging
1.09,10.66,0.75,-900.00,-503.00,838.00,jogging
0.88,10.98,0.93,-942.00,-583.00,910.00,jogging
0.73,11.24,1.07,-1004.00,-648.00,961.00,jogging
0.77,11.56,1.17,-1055.00,-727.00,1014.00,jogging
0.74,12.06,1.22,-1117.00,-791.00,1049.00,jogging
0.96,12.35,1.17,-1181.00,-845.00,1083.00,jogging
1.28,12.54,1.10,-1245.00,-903.00,1100.00,jogging
1.72,12.73,0.96,-1299.00,-919.00,1114.00,jogging
1.99,12.71,0.76,-1346.00,-897.00,1113.00,jogging
8.80,17.84,10.40,-230.00,-765.00,1006.00,jogging
8.42,16.74,10.45,-528.00,-1026.00,1357.00,jogging
7.97,15.12,10.48,-781.00,-1382.00,1762.00,jogging
7.49,12.79,9.87,-1035.00,-1668.00,2085.00,jogging
6.30,11.56,8.18,-1201.00,-1969.00,2314.00,jogging
3.41,12.00,-4.41,-1441.00,-2829.00,2458.00,jogging
-1.64,14.71,-11.83,-1968.00,-3494.00,2272.00,jogging
-7.39,19.60,-9.77,-1589.00,-2163.00,1625.00,jogging
-7.62,19.60,-8.50,-770.00,855.00,826.00,jogging
-2.45,19.60,-1.09,-282.00,4457.00,359.00,jogging
7.22,12.26,2.85,-296.00,6529.00,370.00,jogging
16.10,1.10,-3.20,-1248.00,3961.00,930.00,jogging
19.60,1.68,-14.54,-1321.00,388.00,607.00,jogging
15.41,1.40,-6.05,-636.00,-1278.00,-291.00,jogging
5.61,1.61,0.15,504.00,-2349.00,-552.00,jogging
